MUTUAL FUNDS - SIZE (ELSS),Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9
,,,,,,,,,
Asset Name,Qty,Avg Price,Invested,Curr Price,Today Gain,Today %,Overall Gain,Overall %,Current Value
Aditya Birla Sun Life ELSS Tax Saver Fund - Growth - Direct Plan,4171.01,44.37,185076.66,68.05,-4504.69,-0.0156227370345201,98760.5705,0.533619801113766,283837.23
TOTAL,,,185076.66,,-4504.69,,98760.5705,0.533619801113766,283837.23
