"Instrument","Qty.","Avg. cost","LTP","Invested","Cur. val","P&L","Net chg.","Day chg.",""
"HDFC Liquid Fund",803,5386.18,5515.7825,4325105.83,4429173.35,104067.52,2.41,0.03,""
"ICICI Prudential Nifty Alpha Low - Volatility 30 ETF FOF",226353.945,11.19,15.0223,2531882.05,3400356.87,868474.82,34.3,0.66,""
"SGBDE31III",200,8534.31,14620,1706861.27,2924000,1217138.73,71.31,-0.48,""
"Tata Arbitrage Fund",87878.989,15.58,16.1563,1369260.1,1419799.31,50539.21,3.69,-0.03,""
"Tata Nifty Midcap 150 Momentum 50 Index Fund",76604.594,15.84,18.2435,1213462.73,1397535.91,184073.18,15.17,1.48,""
"HDFC Multi-Asset Allocation Fund",12067.655,82.86,83.683,999950.03,1009857.57,9907.54,0.99,0.43,""
"Parag Parikh Flexi Cap Fund",10919.715,91.57,90.3358,999949.97,986441.19,-13508.78,-1.35,0.34,""
"EMBASSY-RR",2100,451.4,450.03,947940,945063,-2877,-0.3,1.43,""
"GOLDBEES",7429,126.68,118.14,941114.26,877662.06,-63452.2,-6.74,-0.24,""
"GOLDCASE",34166,23.12,22.47,789905.52,767710.02,-22195.5,-2.81,-0.18,""
"SILVERCASE",27300,25.69,22.17,701221.22,605241,-95980.22,-13.69,-1.77,""
"ICICI Prudential Commodities Fund",9681.634,51.64,50.05,499975.07,484565.78,-15409.29,-3.08,1.01,""
"WELCORP",139,1316.06,1615.45,182932,224547.55,41615.55,22.75,0.81,""
"KIRLOSENG",88,1419.37,2492.25,124904.5,219318,94413.5,75.59,2.74,""
"Nippon India Small Cap Fund",1008.131,198.38,202.3113,199990,203956.29,3966.29,1.98,1.53,""
"ATHERENERG",124,907.5,1224.25,112530,151807,39277,34.9,0.45,""
"ANANDRATHI",68,1683.21,2150.35,114458.5,146223.8,31765.3,27.75,2.46,""
"HFCL",656,148.15,217.25,97186.4,142516,45329.6,46.64,1.2,""
"LAURUSLABS",87,1047.99,1537.8,91175.4,133788.6,42613.2,46.74,2.02,""
"ABSLAMC",115,971.83,1146.6,111760.7,131859,20098.3,17.98,0.93,""
"BHARATFORG",61,1718.47,2117,104826.9,129137,24310.1,23.19,-0.64,""
"ACUTAAS",38,2568.97,3393.95,97620.8,128970.1,31349.3,32.11,-1.89,""
"THERMAX",24,4914.45,4805.2,117946.9,115324.8,-2622.1,-2.22,0.39,""
"BHEL",289,408.1,395.25,117940.05,114227.25,-3712.8,-3.15,3.58,""
"GVT&D",24,3824.47,4677.1,91787.3,112250.4,20463.1,22.29,0.73,""
"BSE",29,3047.5,3811.6,88377.6,110536.4,22158.8,25.07,0.16,""
"SYRMA",72,1412.3,1451.25,101685.6,104490,2804.4,2.76,0.66,""
"Franklin Asian Equity Fund",2068.547,48.34,49.2388,99995.01,101852.77,1857.76,1.86,0.56,""
"RRKABEL",40,2516,2225.7,100640,89028,-11612,-11.54,0.86,""
"GRANULES",96,795,889.85,76320,85425.6,9105.6,11.93,0.88,""
"GLAND",34,2241.4,2479.4,76207.7,84299.6,8091.9,10.62,0.4,""
"KARURVYSYA",269,277.99,305.65,74779.05,82219.85,7440.8,9.95,3.38,""
"LUPIN",32,2308.3,2496.3,73865.6,79881.6,6016,8.14,-0.28,""
"ADANIPORTS",43,1446.32,1828.1,62191.7,78608.3,16416.6,26.4,1.56,""
"ABCAPITAL",192,225.69,408.25,43331.68,78384,35052.32,80.89,2.72,""
"SOUTHBANK",1695,40.09,45.78,67949.55,77597.1,9647.55,14.2,3.46,""
"EMMVEE",226,336.85,333.25,76128.1,75314.5,-813.6,-1.07,-0.36,""
"AIAENG",16,3895.56,4664.35,62329,74629.6,12300.6,19.73,-0.5,""
"HINDALCO",77,990.8,969.2,76291.6,74628.4,-1663.2,-2.18,0.58,""
"SAIL",438,173.78,167.95,76115.64,73562.1,-2553.54,-3.35,1.24,""
"NH",35,1768.52,2027.3,61898.1,70955.5,9057.4,14.63,1.71,""
"ENGINERSIN",291,261.19,239.55,76006.28,69709.05,-6297.23,-8.29,0.95,""
"THANGAMAYL",9,5929,6540.5,53361,58864.5,5503.5,10.31,-0.88,""
"CUPID",271,186.95,212.24,50663.45,57517.04,6853.59,13.53,1.06,""
"RATEGAIN",60,848.61,944.7,50916.7,56682,5765.3,11.32,0.31,""
"Nippon India Taiwan Equity fund",1550.166,32.25,36.04,49997.5,55867.98,5870.48,11.74,0.54,""
"GRWRHITECH",8,6752,6968,54016,55744,1728,3.2,0.66,""
"WABAG",25,2064.02,2221.2,51600.5,55530,3929.5,7.62,4.89,""
"SHILPAMED",87,585,627.15,50895,54562.05,3667.05,7.21,0.78,""
"INOXINDIA",27,1857.35,1978,50148.4,53406,3257.6,6.5,-1.41,""
"SANSERA",16,3153.1,3304,50449.6,52864,2414.4,4.79,5.16,""
"ASTRAMICRO",29,1726,1803.7,50054,52307.3,2253.3,4.5,-1.6,""
"HINDCOPPER",100,512.73,498.65,51272.9,49865,-1407.9,-2.75,2.51,""
"BBOX",54,928.19,921.85,50122.5,49779.9,-342.6,-0.68,-1.5,""
"AVALON",28,1786,1768.1,50007.9,49506.8,-501.1,-1,2.29,""
"AVL",76,674.09,640,51231.1,48640,-2591.1,-5.06,1.16,""
"ARVIND",91,553.5,526.7,50368.5,47929.7,-2438.8,-4.84,-1.2,""
"TDPOWERSYS",41,1225.92,1150.2,50262.7,47158.2,-3104.5,-6.18,5.52,""
"KIRLPNU",26,1917.62,1783.7,49858.2,46376.2,-3482,-6.98,0.09,""
