"Instrument","Qty.","Avg. cost","LTP","Invested","Cur. val","P&L","Net chg.","Day chg.",""
"ABCAPITAL",192,225.69,350.8,43331.68,67353.6,24021.92,55.44,1.8,""
"ABSLAMC",112,964.56,1019.05,108030.5,114133.6,6103.1,5.65,-1.91,""
"ADANIPORTS",43,1446.32,1588.9,62191.7,68322.7,6131,9.86,-0.35,""
"AIAENG",19,3895.65,4058.6,74017.3,77113.4,3096.1,4.18,1.28,""
"ANANDRATHI",31,3352.96,3615.4,103941.9,112077.4,8135.5,7.83,-0.91,""
"AUBANK",113,924.28,1043.2,104443.25,117881.6,13438.35,12.87,0.51,""
"BANKINDIA",489,125.98,152.92,61606.49,74777.88,13171.39,21.38,2.06,""
"BHARATFORG",62,1713.48,1903.2,106236,117998.4,11762.4,11.07,0.39,""
"BSE",34,3010.36,3499.2,102352.3,118972.8,16620.5,16.24,-0.47,""
"CANBK",447,146.77,145.25,65604.6,64926.75,-677.85,-1.03,0.62,""
"CCL",102,1083.1,1121.6,110476.4,114403.2,3926.8,3.55,0.76,""
"EMBASSY-RR",2100,451.4,426.4,947940,895440,-52500,-5.54,-1.27,""
"FEDERALBNK",381,273.77,296.45,104306.4,112947.45,8641.05,8.28,0.24,""
"GESHIP",81,1366.64,1448.2,110698,117304.2,6606.2,5.97,0.13,""
"GOLDBEES",13212,122.57,124.99,1619435.68,1651367.88,31932.2,1.97,-0.18,""
"GOLDCASE",25400,18.73,23.76,475839.64,603504,127664.36,26.83,-0.25,""
"GVT&D",27,3787.9,4239.4,102273.2,114463.8,12190.6,11.92,-0.3,""
"INDIANB",199,797.29,922.25,158660.15,183527.75,24867.6,15.67,0.12,""
"INDUSTOWER",170,435.6,408.25,74052,69402.5,-4649.5,-6.28,-1.6,""
"JBCHEPHARM",55,2051.47,1976,112830.8,108680,-4150.8,-3.68,-0.85,""
"KARURVYSYA",662,234.87,300.45,155483.14,198897.9,43414.76,27.92,3.35,""
"KIRLOSENG",120,1349.21,1640.1,161904.6,196812,34907.4,21.56,-1.39,""
"LAURUSLABS",101,1041.92,1100,105234.2,111100,5865.8,5.57,-1.3,""
"LUPIN",32,2308.3,2300,73865.6,73600,-265.6,-0.36,-0.51,""
"M&M",20,2969.67,3149.7,59393.3,62994,3600.7,6.06,-3.01,""
"NATIONALUM",445,347.41,435.95,154595.8,193997.75,39401.95,25.49,3.07,""
"NH",35,1768.52,1811.3,61898.1,63395.5,1497.4,2.42,0.4,""
"SGBDE31III",200,8534.31,15850,1706861.27,3170000,1463138.73,85.72,0.27,""
"SGBJAN29X-GB",51,14092.11,15101.11,718697.61,770156.61,51459,7.16,-0.33,""
"SOUTHBANK",1695,40.09,39.85,67949.55,67545.75,-403.8,-0.59,0.81,""
"UNIONBANK",407,163.13,194.05,66394.05,78978.35,12584.3,18.95,1.4,""
"HDFC Liquid Fund",967.505,5374.39,5441.0579,5199744.94,5264250.72,64505.78,1.24,0.01,""
"HDFC Multi-Asset Allocation Fund",12067.655,82.86,84.633,999950.03,1021321.85,21371.82,2.14,0.5,""
"ICICI Prudential Commodities Fund",1966.47,50.85,51.8,99995,101863.15,1868.15,1.87,-0.06,""
"ICICI Prudential Nifty Alpha Low - Volatility 30 ETF FOF",226353.945,11.19,14.6493,2531882.05,3315926.85,784044.79,30.97,0.49,""
"Nippon India Taiwan Equity fund",1550.166,32.25,33.9686,49997.5,52656.97,2659.46,5.32,2.09,""
"Parag Parikh Flexi Cap Fund",10919.715,91.57,92.1913,999949.97,1006702.72,6752.75,0.68,0.57,""
"Tata Arbitrage Fund",166788.435,15.55,15.9394,2593226.59,2658507.58,65280.99,2.52,-0.06,""
"Tata Nifty Midcap 150 Momentum 50 Index Fund",65798.085,15.4,18.2688,1013474.74,1202052.06,188577.31,18.61,0.53,""
