Date,Open,High,Low,Close,Shares Traded,Turnover (₹ Cr)
05-FEB-2018,12520.4,13066.2,11541.75,11541.75,275043789.0,8270.57
06-FEB-2018,12089.3,12822.9,12031.3,12692.75,263181051.0,7635.05
07-FEB-2018,12986.8,13082.35,12844.4,12952.1,204381734.0,6048.23
08-FEB-2018,13037.95,13297.15,13019.3,13264.9,213354255.0,5479.18
09-FEB-2018,12874.35,13353.15,12869.4,13291.45,201516644.0,5305.13
12-FEB-2018,13483.1,13671.65,13465.75,13583.95,157104787.0,4609.27
14-FEB-2018,13723.7,13786.95,13575.85,13619.1,166106023.0,5872.11
15-FEB-2018,13707.65,13713.55,13432.0,13505.4,158492155.0,5427.42
16-FEB-2018,13625.65,13666.1,13241.6,13326.45,158707845.0,5058.75
19-FEB-2018,13389.6,13390.25,13031.9,13174.9,193363571.0,5552.62
20-FEB-2018,13211.65,13303.65,13077.0,13167.4,148948095.0,4601.93
21-FEB-2018,13285.75,13294.95,13120.9,13223.85,142142125.0,4618.23
22-FEB-2018,13158.75,13210.4,13104.4,13139.2,169922938.0,5190.95
23-FEB-2018,13203.3,13417.85,13191.5,13400.75,305759051.0,4815.8
26-FEB-2018,13507.5,13546.3,13450.4,13518.5,224159597.0,4626.95
27-FEB-2018,13561.9,13574.45,13387.85,13408.2,158519892.0,4426.61
28-FEB-2018,13277.55,13370.9,13193.5,13309.95,176692340.0,6623.57
01-MAR-2018,13300.85,13377.85,13187.85,13202.0,118405778.0,3884.15
05-MAR-2018,13181.65,13185.65,12998.65,13082.75,210305284.0,5141.5
06-MAR-2018,13172.15,13261.4,12802.0,12866.1,195347822.0,5342.16
07-MAR-2018,12822.45,12834.3,12624.8,12656.8,272350026.0,5449.68
08-MAR-2018,12775.85,12861.05,12509.3,12772.65,240468741.0,5260.59
09-MAR-2018,12858.35,12893.5,12700.55,12818.4,187328416.0,4671.97
12-MAR-2018,12952.35,12994.3,12833.25,12973.25,172917220.0,4285.38
13-MAR-2018,12988.55,13282.1,12959.85,13189.5,228909595.0,5198.18
14-MAR-2018,13118.8,13203.9,13050.35,13117.45,221365682.0,4368.39
15-MAR-2018,13126.85,13230.1,13117.55,13164.85,352508619.0,4782.6
16-MAR-2018,13213.8,13252.25,13020.65,13067.35,421122716.0,6419.39
19-MAR-2018,13123.0,13162.15,12741.7,12767.85,245503488.0,4344.22
20-MAR-2018,12681.6,12923.35,12634.25,12863.0,294885661.0,4753.78
21-MAR-2018,12962.9,13081.2,12900.0,12929.2,219299308.0,5153.8
22-MAR-2018,12959.25,13004.9,12781.6,12795.9,193890022.0,5423.86
23-MAR-2018,12472.85,12558.55,12393.1,12545.5,232051077.0,5645.14
26-MAR-2018,12518.05,12663.3,12427.95,12634.15,273763741.0,5413.64
27-MAR-2018,12745.6,12859.05,12727.95,12746.1,238633231.0,5187.69
28-MAR-2018,12656.9,12684.75,12536.4,12558.6,270073249.0,6875.92
02-APR-2018,12637.55,12964.35,12636.2,12938.5,,
03-APR-2018,12900.9,13054.6,12895.05,13042.75,108563011.0,5499.96
04-APR-2018,13120.05,13166.3,12684.4,12701.6,129455082.0,6414.61
05-APR-2018,12892.8,12995.0,12826.15,12974.15,113196560.0,5357.06
06-APR-2018,13014.95,13120.35,12908.55,13089.4,107461151.0,5726.97
09-APR-2018,13078.9,13994.65,12852.7,13644.2,87580598.0,4917.08
10-APR-2018,13147.35,13163.4,13000.45,13026.5,79343123.0,3937.47
11-APR-2018,13071.95,13094.35,12986.3,13041.15,86581802.0,4549.55
12-APR-2018,13052.7,13062.8,12915.6,12935.45,103267824.0,5047.9
13-APR-2018,13003.2,13135.7,12979.45,13086.75,109590184.0,5818.92
16-APR-2018,13010.8,13437.85,12975.9,13422.95,129479133.0,5857.8
17-APR-2018,13492.9,13549.3,13356.05,13387.15,119829906.0,5974.01
18-APR-2018,13450.4,13514.15,13372.0,13429.65,107219954.0,5209.85
19-APR-2018,13485.95,13491.85,13274.2,13465.8,101638270.0,5343.54
20-APR-2018,13445.25,13599.25,13391.1,13585.35,105821352.0,5984.59
23-APR-2018,13662.9,13732.3,13590.45,13620.1,91269102.0,5510.81
24-APR-2018,13663.85,13800.05,13640.75,13688.15,105390479.0,5848.12
25-APR-2018,13703.8,13945.05,13698.95,13823.8,160730542.0,7766.78
26-APR-2018,13899.2,13963.15,13726.8,13835.0,209595179.0,9904.4
27-APR-2018,13880.7,13973.8,13817.9,13848.05,134864108.0,6461.74
30-APR-2018,13934.3,14158.85,13915.5,14120.65,223000159.0,7542.41
02-MAY-2018,14189.7,14217.9,13939.35,14053.75,245860777.0,7669.99
03-MAY-2018,14039.35,14042.6,13813.9,13868.0,310505499.0,7626.99
04-MAY-2018,13868.5,13910.25,13794.8,13867.6,294396853.0,8543.87
07-MAY-2018,13953.9,14081.05,13936.25,14055.0,267181854.0,8483.47
08-MAY-2018,14148.35,14193.6,14032.2,14110.0,248808824.0,9248.38
09-MAY-2018,14115.0,14364.3,14090.55,14287.3,167746743.0,7372.89
10-MAY-2018,14362.75,14434.35,13990.65,14022.0,153387883.0,6259.22
11-MAY-2018,14112.85,14140.95,13772.8,13826.15,187582601.0,7126.14
14-MAY-2018,13845.4,13855.05,13616.65,13651.6,173557408.0,6790.31
