MONTH,Close
Feb-18,13309.95
Mar-18,12558.6
Apr-18,14120.65
May-18,13583.45
Jun-18,12897.05
Jul-18,14151.8
Aug-18,14877.95
Sep-18,12415.75
Oct-18,12332.7
Nov-18,12445.75
Dec-18,12191.25
Jan-19,11781.55
Feb-19,11655.2
Mar-19,12187.9
Apr-19,12250.9
May-19,12315.5
Jun-19,12373.9
Jul-19,11855.55
Aug-19,11809.1
Sep-19,12401.8
Oct-19,12777.25
Nov-19,12771.4
Dec-19,13071.95
Jan-20,13893.5
Feb-20,13339.4
Mar-20,10067.55
Apr-20,11722.2
May-20,11679.35
Jun-20,13701.05
Jul-20,14805.65
Aug-20,15442.25
Sep-20,16926.65
Oct-20,17165.85
Nov-20,19075.85
Dec-20,19836.8
Jan-21,19275.45
Feb-21,21475.1
Mar-21,22648.2
Apr-21,24547.7
May-21,26292.35
Jun-21,27135.0
Jul-21,28513.05
Aug-21,30213.4
Sep-21,31641.8
Oct-21,31388.8
Nov-21,32234.85
Dec-21,34605.05
Jan-22,33759.45
Feb-22,31885.3
Mar-22,35463.05
Apr-22,34333.15
May-22,30173.5
Jun-22,26214.1
Jul-22,28286.15
Aug-22,29957.6
Sep-22,29586.2
Oct-22,30520.5
Nov-22,30688.1
Dec-22,29685.5
Jan-23,27358.05
Feb-23,25277.2
Mar-23,25993.55
Apr-23,27659.4
May-23,29305.7
Jun-23,31290.15
Jul-23,33995.7
Aug-23,34723.85
Sep-23,36197.55
